Name,Country,Age,"Height, cm",Weight,Sex,Date of birth,Place of birth,Gold,Silver,Bronze,Total,Sport,Event
Jun Mizutani,Japan,23,172.0,66.0,M,6/9/1989,IWATA,0,0,0,0,Table Tennis,"Men's Singles, Men's Team"
Alice Mizzau,Italy,19,180.0,65.0,F,3/18/1993,Udine (ITA),0,0,0,0,Swimming,"Women's 4x100m Freestyle Relay, Women's 4x200m Freestyle Relay, Women's 4x100m Medley Relay"
David MmcCann,Ireland,39,180.0,73.0,M,3/17/1973,BELFAST (GBR),0,0,0,0,Cycling - Road,"Men's Individual Time Trial, Men's Road Race"
Ismail Moalla,Tunisia,22,195.0,67.0,M,1/30/1990,SFAX (TUN),0,0,0,0,Volleyball,Men's Volleyball
Sabrina Mockenhaupt,Germany,31,156.0,45.0,F,12/6/1980,Siegen (GER),0,0,0,0,Athletics,"Women's 10,000m"
Sacha Modolo,Italy,25,180.0,67.0,M,6/19/1987,CONEGLIANO (ITA),0,0,0,0,Cycling - Road,Men's Road Race
Peter Modos,Hungary,24,170.0,55.0,M,12/17/1987,SZIGETVAR (HUN),0,0,0,0,Wrestling,Men's 55kg Greco-Roman
Davit Modzmanashvili,Georgia,25,185.0,110.0,M,11/9/1986,Tbilisi (GEO),0,0,0,0,Wrestling,Men's 120kg Freestyle
Emma Moffatt,Australia,27,171.0,57.0,F,9/7/1984,Moree (AUS),0,0,0,0,Triathlon,Women's Triathlon
Ofentse Mogawane,South Africa,30,188.0,69.0,M,2/20/1982,Johannesburg (RSA),0,0,0,0,Athletics,Men's 4 x 400m Relay
Carsten Mogensen,Denmark,29,185.0,75.0,M,7/24/1983,Roskilde,0,0,0,0,Badminton,Men's Doubles
Sostene Moguenara,Germany,22,180.0,66.0,F,10/17/1989,SARH (CHA),0,0,0,0,Athletics,Women's Long Jump
Musa Mogushkov,Russian Federation,24,170.0,66.0,M,2/6/1988,INGUSHETIA (RUS),0,0,0,0,Judo,Men's -66kg
Khairul Anuar Mohamad,Malaysia,20,171.0,70.0,M,9/22/1991,TERENGGANU,0,0,0,0,Archery,"Men's Individual, Men's Team"
Aia Mohamed,Qatar,18,161.0,57.0,F,8/1/1994,Egypt,0,0,0,0,Table Tennis,Women's Singles
Hamada Mohamed,Egypt,19,178.0,63.0,M,10/22/1992,QENA (EGY),0,0,0,0,Athletics,Men's 800m
Ibrahim Farag Abdelhakim Mohamed,Egypt,22,165.0,55.0,M,2/5/1990,SUEZ (EGY),0,0,0,0,Wrestling,Men's 55kg Freestyle
Mohamed Mohamed,Egypt,34,185.0,96.0,M,2/4/1978,SUEZ (EGY),0,0,0,0,Wrestling,Men's 96kg Greco-Roman
Khadija Mohammad,United Arab Emirates,17,160.0,75.0,F,6/19/1995,DUBAI (UAE),0,0,0,0,Weightlifting,Women's 75kg
Saeid Mohammadpourkarkaragh,Islamic Republic of Iran,19,180.0,94.0,M,3/3/1993,ARDEBIL,0,0,0,0,Weightlifting,Men's 94kg
Tino Mohaupt,Germany,28,171.0,64.0,M,8/29/1983,Suhl (GER),0,0,0,0,Shooting,Men's 10m Air Rifle
Khairulnizam Mohd Afendy,Malaysia,19,182.0,82.0,M,5/27/1993,Selangor (MAS),0,0,0,0,Sailing,Men's Laser
Noraseela Mohd Khalid,Malaysia,32,166.0,55.0,F,9/27/1979,PULAU PINANG (MAS),0,0,0,0,Athletics,Women's 400m Hurdles
Nur Suryani Mohd Taibi,Malaysia,29,168.0,65.0,F,9/24/1982,PERAK (MAS),0,0,0,0,Shooting,Women's 10m Air Rifle
Malte Mohr,Germany,26,192.0,83.0,M,7/24/1986,BOCHUM (GER),0,0,0,0,Athletics,Men's Pole Vault
Andrei Moiseev,Russian Federation,33,190.0,85.0,M,6/3/1979,Rostov,0,0,0,0,Modern Pentathlon,Men's Modern Pentathlon
Godfrey Khotso Mokoena,South Africa,27,190.0,73.0,M,3/6/1985,HEIDELBURG (RSA),0,0,0,0,Athletics,Men's Long Jump
Stephen Mokoka,South Africa,27,156.0,50.0,M,1/31/1985,MAFIKENG (RSA),0,0,0,0,Athletics,Men's Marathon
Mario Mola,Spain,22,178.0,59.0,M,2/23/1990,MALLORCA (ESP),0,0,0,0,Triathlon,Men's Triathlon
Antje Moldner-Schmidt,Germany,28,173.0,57.0,F,6/13/1984,Potsdam (GER),0,0,0,0,Athletics,Women's 3000m Steeplechase
Nikolina Moldovan,Serbia,22,168.0,66.0,F,5/1/1990,BEOGRAD,0,0,0,0,Canoe Sprint,"Women's Kayak Single (K1) 200m, Women's Kayak Double (K2) 500m"
Olivera Moldovan,Serbia,23,158.0,67.0,F,3/1/1989,Beograd (SRB),0,0,0,0,Canoe Sprint,Women's Kayak Double (K2) 500m
Alin George Moldoveanu,Romania,29,174.0,74.0,M,5/3/1983,FOCSANI (ROU),1,0,0,1,Shooting,Men's 10m Air Rifle
Fabiola Molina,Brazil,37,177.0,65.0,F,5/22/1975,SÃO JOSÉ DOS CAMPOS (BRA),0,0,0,0,Swimming,Women's 100m Backstroke
Guillermo Molina Rios,Spain,28,194.0,108.0,M,3/16/1984,Ceuta (ESP),0,0,0,0,Water Polo,Men's Water Polo
Georganne Moline,United States of America,22,178.0,59.0,F,3/6/1990,Missoula (USA),0,0,0,0,Athletics,Women's 400m Hurdles
Kathrina Molitor,Germany,28,183.0,77.0,F,11/8/1983,BEDBURG (GER),0,0,0,0,Athletics,Women's Javelin Throw
Daniele Molmenti,Italy,28,170.0,68.0,M,8/1/1984,Pordenone (ITA),1,0,0,1,Canoe Slalom,Men's Kayak (K1)
Akos Molnar,Hungary,25,194.0,90.0,M,7/22/1987,Szeged (HUN),0,0,0,0,Swimming,Men's 200m Breaststroke
Anne-Sophie Mondiere,France,33,174.0,87.0,F,2/1/1979,ROANNE (FRA),0,0,0,0,Judo,Women's +78kg
Annie Moniqui,Canada,22,158.0,58.0,F,3/28/1990,GODMANCHESTER,0,0,0,0,Weightlifting,Women's 58kg
Adysangela Moniz,Cape Verde,25,166.0,105.0,F,5/9/1987,ILHA DE SANTIAGO (CPV),0,0,0,0,Judo,Women's +78kg
Kenrick Monk,Australia,24,194.0,90.0,M,1/1/1988,BLACKTOWN (AUS),0,0,0,0,Swimming,"Men's 200m Freestyle, Men's 4x200m Freestyle Relay"
Jeremy Monnier,France,23,175.0,64.0,M,5/5/1989,Pontarlier (FRA),0,0,0,0,Shooting,Men's 10m Air Rifle
Consuelo Monsegur,Argentina,46,175.0,74.0,F,6/23/1966,Buenos Aires (ARG),0,0,0,0,Sailing,Women's 470
Concepcion Montaner,Spain,31,172.0,59.0,F,1/14/1981,LA ELIANA (ESP),0,0,0,0,Athletics,Women's Long Jump
Joao Monteiro,Portugal,28,180.0,73.0,M,8/29/1983,Guarda (POR),0,0,0,0,Table Tennis,"Men's Singles, Men's Team"
Telma Monteiro,Portugal,26,159.0,57.0,F,12/27/1985,Lisboa (POR),0,0,0,0,Judo,Women's -57kg
Thiago Monteiro,Brazil,31,182.0,80.0,M,6/15/1981,Fortaleza (BRA),0,0,0,0,Table Tennis,Men's Team
Ricardo Montemayor,Mexico,20,190.0,80.0,M,12/23/1991,Mexico D.F. (MEX),0,0,0,0,Sailing,Men's Laser
Victoria Montero,Mexico,20,166.0,64.0,F,8/25/1991,Toluca,0,0,0,0,Badminton,Women's Singles
Jose Lino Montes Gongora,Mexico,23,153.0,56.0,M,4/18/1989,YUCATAN,0,0,0,0,Weightlifting,Men's 56kg
Isidro Montoya,Colombia,21,176.0,68.0,M,11/3/1990,TURBO (COL),0,0,0,0,Athletics,Men's 100m
Mario Montoya,Costa Rica,22,195.0,96.0,M,8/18/1989,San Jose (CRC),0,0,0,0,Swimming,Men's 200m Freestyle
Paolo Cesar Montoya Cantillo,Costa Rica,27,186.0,71.0,M,6/15/1985,San Jose (CRC),0,0,0,0,Cycling - Mountain Bike,Men's Cross-country
Moana Moo Caille,France,23,177.0,80.0,M,8/13/1988,LE PORT (FRA),0,0,0,0,Cycling - BMX,Men's BMX
Ashleigh Moolman,South Africa,26,163.0,50.0,F,12/9/1985,Pretoria (RSA),0,0,0,0,Cycling - Road,"Women's Individual Time Trial, Women's Road Race"
Younghui Moon,Republic of Korea,29,170.0,62.0,F,6/19/1983,Seoul (KOR),0,0,0,0,Hockey,Women's Hockey
Graeme Moore,South Africa,23,198.0,98.0,M,1/28/1989,Johannesburg (RSA),0,0,0,0,Swimming,"Men's 100m Freestyle, Men's 4x100m Freestyle Relay"
Trevor Moore,United States of America,27,188.0,84.0,M,8/13/1984,QUINCY (USA),0,0,0,0,Sailing,Men's 49er
Jeroen Mooren,Netherlands,27,168.0,60.0,M,7/30/1985,NIJMEGEN (NED),0,0,0,0,Judo,Men's -60kg
Sebastian Mora Vedri,Spain,24,181.0,70.0,M,2/19/1988,VILA REAL (ESP),0,0,0,0,Cycling - Track,Men's Team Pursuit
Sajad Moradi,Islamic Republic of Iran,29,185.0,75.0,M,3/30/1983,Borojen (IRI),0,0,0,0,Athletics,Men's 800m
Sourab Moradi,Islamic Republic of Iran,23,170.0,84.0,M,9/22/1988,LENJAN,0,0,0,0,Weightlifting,Men's 85kg
Jane Moran,Australia,27,167.0,70.0,F,6/6/1985,MURWILLUMBAH (AUS),0,0,0,0,Water Polo,Women's Water Polo
Lidia Morant Varo,Spain,21,180.0,63.0,F,11/22/1990,GANDIA (ESP),0,0,0,0,Swimming,Women's 4x200m Freestyle Relay
Adelheid Morath,Germany,28,164.0,52.0,F,8/2/1984,TITISEE,0,0,0,0,Cycling - Mountain Bike,Women's Cross-country
Martina Moravcikova,Czech Republic,23,178.0,65.0,F,8/13/1988,RIMAVSKA SOBOTA (SVK),0,0,0,0,Swimming,Women's 200m Breaststroke
Antonia Moreira,Angola,30,170.0,68.0,F,4/26/1982,Luanda (ANG),0,0,0,0,Judo,Women's -70kg
Jose Carlos Moreira,Brazil,28,172.0,76.0,M,9/28/1983,CODO (BRA),0,0,0,0,Athletics,Men's 4 x 100m Relay
Sara Moreira,Portugal,26,168.0,49.0,F,10/17/1985,RORIZ (POR),0,0,0,0,Athletics,"Women's 5000m, Women's 10,000m"
Johana Moreno,Colombia,27,177.0,93.0,F,4/15/1985,APARTADO (COL),0,0,0,0,Athletics,Women's Hammer Throw
Xavier Moreno,Ecuador,32,168.0,52.0,M,11/15/1979,QUITO (ECU),0,0,0,0,Athletics,Men's 50km Race Walk
Elena Moretti,Italy,25,160.0,48.0,F,6/29/1987,Brescia (ITA),0,0,0,0,Judo,Women's -48kg
Simao Morgado,Portugal,33,184.0,78.0,M,3/4/1979,Lisboa (POR),0,0,0,0,Swimming,Men's 100m Butterfly
Jason Morgan,Jamaica,29,183.0,79.0,M,10/6/1982,Kingston (JAM),0,0,0,0,Athletics,Men's Discus Throw
Joanne Morgan,Great Britain,28,170.0,60.0,F,10/7/1983,Edinburgh (GBR),0,0,0,0,Volleyball,Women's Volleyball
Sergey Morgunov,Russian Federation,19,178.0,70.0,M,2/9/1993,Rostov Region (RUS),0,0,0,0,Athletics,Men's Long Jump
Koichiro Morioka,Japan,27,184.0,66.0,M,4/2/1985,SASEBO (JPN),0,0,0,0,Athletics,Men's 50km Race Walk
Michael Morkov,Denmark,27,183.0,67.0,M,4/30/1985,HORSHOLM (DEN),0,0,0,0,Cycling - Track,Men's Team Pursuit
Erica Morningstar,Canada,23,178.0,65.0,F,3/3/1989,Regina (CAN),0,0,0,0,Swimming,Women's 200m Individual Medley
Angela Morosanu,Romania,26,181.0,62.0,F,7/26/1986,Iasi (ROU),0,0,0,0,Athletics,Women's 400m Hurdles
Vladimir Morozov,Russian Federation,20,180.0,73.0,M,6/16/1992,Novosibirsk Region (RUS),0,0,1,1,Swimming,"Men's 100m Backstroke, Men's 4x100m Freestyle Relay"
Aileen Morrison,Ireland,30,172.0,54.0,F,6/15/1982,Derry (IRL),0,0,0,0,Triathlon,Women's Triathlon
Stevie Morrison,Great Britain,33,178.0,77.0,M,11/25/1978,Eastbourne (GBR),0,0,0,0,Sailing,Men's 49er
Brett Morse,Great Britain,23,190.0,110.0,M,2/11/1989,Cardiff (GBR),0,0,0,0,Athletics,Men's Discus Throw
Carlos Alberto Morstadt,Chile,21,188.0,80.0,M,10/27/1990,Temuco (CHI),0,0,0,0,Equestrian,"Individual Jumping, Team Jumping, TALENTO"
Magdalena Moshi,United Republic of Tanzania,21,163.0,52.0,F,11/30/1990,Adelaide (AUS),0,0,0,0,Swimming,Women's 100m Freestyle
Vasily Mosin,Russian Federation,40,182.0,77.0,M,5/9/1972,Kazan (RUS),0,0,1,1,Shooting,Men's Double Trap
Veronika Mosina,Russian Federation,21,172.0,57.0,F,10/17/1990,Leningrad (RUS),0,0,0,0,Athletics,Women's Triple Jump
Vera Moskalyuk,Russian Federation,30,180.0,78.0,F,11/10/1981,ZHITOMIR REGION (),0,0,0,0,Judo,Women's -78kg
Curtis Moss,Canada,25,189.0,90.0,M,4/12/1987,NEW WESTMINSTER (CAN),0,0,0,0,Athletics,Men's Javelin Throw
Cydonie Mothersille,Cayman Islands,34,171.0,57.0,F,3/19/1978,JAMAICA (JAM),0,0,0,0,Athletics,Women's 200m
Olegk Motsalin,Greece,26,174.0,74.0,M,4/9/1986,TZAMOUL (KAZ),0,0,0,0,Wrestling,Men's 74kg Freestyle
Craig Mottram,Australia,32,188.0,74.0,M,6/18/1980,Melbourne (AUS),0,0,0,0,Athletics,Men's 5000m
Yassine Moudatir,Morocco,24,166.0,60.0,M,7/29/1988,AL FIDA (MAR),0,0,0,0,Judo,Men's -60kg
Bertrand Moulinet,France,25,177.0,64.0,M,1/6/1987,Toulouse (FRA),0,0,0,0,Athletics,"Men's 20km Race Walk, Men's 50km Race Walk"
Konstantinos Mourikis,Greece,24,198.0,115.0,M,7/11/1988,Marousi (GRE),0,0,0,0,Water Polo,Men's Water Polo
Kaveh Mousavi,Islamic Republic of Iran,27,203.0,120.0,M,5/27/1985,Tabriz (IRI),0,0,0,0,Athletics,Men's Hammer Throw
Nafissatou Moussa Adamou,Niger,14,172.0,72.0,F,9/27/1997,Niamey (NIG),0,0,0,0,Swimming,Women's 50m Freestyle
Mohamed Moustaoui,Morocco,27,174.0,60.0,M,4/2/1985,Khouribga (MAR),0,0,0,0,Athletics,Men's 1500m
Nickolaus Mowrer,United States of America,23,185.0,93.0,M,9/14/1988,MILES CITY (USA),0,0,0,0,Shooting,Men's 50m Pistol
Marcin Mozdzonek,Poland,27,211.0,51.0,M,2/9/1985,Olsztyn (POL),0,0,0,0,Volleyball,Men's Volleyball
Kira Mozgalova,Russian Federation,29,165.0,70.0,F,12/21/1982,Moscow (RUS),0,0,0,0,Shooting,Women's 25m Pistol
Mohamed Mrabet,Tunisia,22,182.0,84.0,M,1/1/1990,Doha (QAT),0,0,0,0,Canoe Sprint,"Men's Kayak Single (K1) 1000m, Men's Kayak Single (K1) 200m"
Taki Mrabet,Tunisia,23,178.0,78.0,M,2/28/1989,Paris (FRA),0,0,0,0,Swimming,"Men's 200m Individual Medley, Men's 400m Individual Medley"
Tina Mrak,Slovenia,24,165.0,63.0,F,2/6/1988,Koper (SLO),0,0,0,0,Sailing,Women's 470
Luka Mratovic,Croatia,25,190.0,80.0,M,4/7/1987,Split (CRO),0,0,0,0,Sailing,Men's RS-X
Zakia Mrisho,United Republic of Tanzania,28,160.0,50.0,F,2/19/1984,Singida (TAN),0,0,0,0,Athletics,Women's 5000m
Srdjan Mrvaljevic,Montenegro,28,184.0,81.0,M,5/16/1984,BELGRAD (SRB),0,0,0,0,Judo,Men's -81kg
Mohamed Ikoki Msandeki,United Republic of Tanzania,26,180.0,68.0,M,12/31/1985,KONDOA (TAN),0,0,0,0,Athletics,Men's Marathon
Boniface Mucheru,Kenya,20,170.0,68.0,M,5/2/1992,LAIKIPIA (KEN),0,0,0,0,Athletics,"Men's 400m Hurdles, Men's 4 x 400m Relay"
Bedan Karoki Muchiri,Kenya,21,167.0,65.0,M,8/21/1990,NYANDARUA (KEN),0,0,0,0,Athletics,"Men's 10,000m"
Julia Mueller,Germany,26,170.0,73.0,F,12/10/1985,Hamburg (GER),0,0,0,0,Hockey,Women's Hockey
Michelle Mueller,Canada,48,167.0,56.0,F,11/20/1963,Pickering (CAN),0,0,0,0,Equestrian,"Individual Eventing, Team Eventing, AMISTAD"
Janne Mueller-Wieland,Germany,25,175.0,66.0,F,10/28/1986,Hamburg (GER),0,0,0,0,Hockey,Women's Hockey
Werner Muff,Switzerland,38,182.0,76.0,M,2/25/1974,Sursee (SUI),0,0,0,0,Equestrian,"Individual Jumping, Team Jumping, KIAMON"
Camille Muffat,France,22,183.0,71.0,F,10/28/1989,Nice (FRA),1,1,1,3,Swimming,"Women's 200m Freestyle, Women's 400m Freestyle, Women's 4x200m Freestyle Relay, Women's 4x100m Medley Relay"
Ganzi Mugula,Uganda,33,178.0,65.0,M,7/24/1979,NAMIREMBE (UGA),0,0,0,0,Swimming,Men's 50m Freestyle
Claudette Mukasakindi,Rwanda,29,160.0,50.0,F,12/25/1982,NYARUGENGE (RWA),0,0,0,0,Athletics,Women's Marathon
Nedzad Mulabegovic,Croatia,31,190.0,122.0,M,2/4/1981,DERVENTA (BIH),0,0,0,0,Athletics,Men's Shot Put
Teun Mulder,Netherlands,31,182.0,87.0,M,6/18/1981,EPE (NED),0,0,0,0,Cycling - Track,Men's Keirin
Dinko Mulic,Croatia,28,190.0,87.0,M,9/8/1983,BIHAC (BIH),0,0,0,0,Canoe Slalom,Men's Kayak (K1)
Axel Muller,Switzerland,20,176.0,70.0,M,1/3/1992,GENOLIER,0,0,0,0,Archery,Men's Individual
Marie Muller,Luxembourg,27,162.0,52.0,F,7/29/1985,Filderstadt (GER),0,0,0,0,Judo,Women's -52kg
Nadine Muller,Germany,26,193.0,90.0,F,11/21/1985,Leipzig (GER),0,0,0,0,Athletics,Women's Discus Throw
Angel Mullera,Spain,28,178.0,60.0,M,4/20/1984,Lloret de Mar (ESP),0,0,0,0,Athletics,Men's 3000m Steeplechase
Sari Multala,Finland,34,176.0,69.0,F,7/5/1978,Helsinki (FIN),0,0,0,0,Sailing,Women's Laser Radial
Prince Mumba,Zambia,27,180.0,67.0,M,9/28/1984,Kitwe (ZAM),0,0,0,0,Athletics,Men's 800m
Yura Mun,Republic of Korea,22,157.0,69.0,F,5/13/1990,GYUNGGI,0,0,0,0,Weightlifting,Women's 69kg
Marina Muncan,Serbia,29,165.0,51.0,F,11/6/1982,Pancevo (SRB),0,0,0,0,Athletics,Women's 1500m
Markus Munch,Germany,26,207.0,130.0,M,6/13/1986,Hamburg (GER),0,0,0,0,Athletics,Men's Discus Throw
Marc Mundell,South Africa,29,189.0,77.0,M,7/7/1983,PIETERMARITZBURG (RSA),0,0,0,0,Athletics,Men's 50km Race Walk
Bundmaa Munkhbaatar,Mongolia,26,158.0,52.0,F,9/4/1985,UVURKHANGAI PROVINCE (MGL),0,0,0,0,Judo,Women's -52kg
Urantsetseg Munkhbat,Mongolia,22,160.0,48.0,F,3/14/1990,BAYANKHONGOR PROVINCE (MGL),0,0,0,0,Judo,Women's -48kg
Juan Manuel Munoz Diaz,Spain,43,172.0,73.0,M,5/19/1969,ECIJA (ESP),0,0,0,0,Equestrian,"Individual Dressage, Team Dressage, FUEGO"
Paola Andrea Munoz Grandon,Chile,26,164.0,54.0,F,4/13/1986,Santiago (CHI),0,0,0,0,Cycling - Road,Women's Road Race
Hope Munro,Australia,31,160.0,57.0,F,6/14/1981,toowoomba (AUS),0,0,0,0,Hockey,Women's Hockey
David Muntaner Juaneda,Spain,29,187.0,78.0,M,7/12/1983,PALMA DE MALLORCA (ESP),0,0,0,0,Cycling - Track,Men's Team Pursuit
Boas Munyonga,Zambia,31,180.0,80.0,M,12/15/1980,NDOLA,0,0,0,0,Judo,Men's -81kg
Norma Murabito,Italy,24,162.0,58.0,F,10/12/1987,TAORMINA (ITA),0,0,0,0,Canoe Sprint,Women's Kayak Single (K1) 200m
Ai Murakami,Japan,27,158.0,53.0,F,3/18/1985,OYABE (JPN),0,0,0,0,Hockey,Women's Hockey
Yukifumi Murakami,Japan,32,185.0,97.0,M,12/23/1979,IKINA (JPN),0,0,0,0,Athletics,Men's Javelin Throw
Vyacheslav Muravyev,Kazakhstan,30,186.0,82.0,M,7/14/1982,Karaganda (KAZ),0,0,0,0,Athletics,Men's 200m
Andrew Murdoch,New Zealand,30,183.0,82.0,M,7/16/1982,KAWAKAWA (NZL),0,0,0,0,Sailing,Men's Laser
Osman Murillo Segura,Costa Rica,26,176.0,73.0,M,9/18/1985,San Jose,0,0,0,0,Judo,Men's -73kg
Koji Murofushi,Japan,37,187.0,99.0,M,10/8/1974,NUMAZU (JPN),0,0,0,0,Athletics,Men's Hammer Throw
Annalise Murphy,Ireland,22,185.0,72.0,F,2/1/1990,Dublin (IRL),0,0,0,0,Sailing,Women's Laser Radial
Barry Murphy,Ireland,26,188.0,82.0,M,10/5/1985,Dublin (IRL),0,0,0,0,Swimming,"Men's 50m Freestyle, Men's 100m Breaststroke"
Grainne Murphy,Ireland,19,171.0,71.0,F,3/26/1993,Wexford (IRL),0,0,0,0,Swimming,"Women's 200m Freestyle, Women's 400m Freestyle, Women's 800m Freestyle"
Joseph Murphy,Ireland,35,180.0,75.0,M,8/6/1976,MULLINGAR (IRL),0,0,0,0,Equestrian,"Individual Eventing, Team Eventing, ELECTRIC CRUISE"
Darren Murray,South Africa,21,183.0,72.0,M,4/2/1991,Cape Town (RSA),0,0,0,0,Swimming,Men's 200m Backstroke
Freya Murray,Great Britain,28,158.0,44.0,F,9/20/1983,Edinburgh (GBR),0,0,0,0,Athletics,Women's Marathon
Richard Murray,South Africa,23,178.0,71.0,M,1/4/1989,Cape Town (RSA),0,0,0,0,Triathlon,Men's Triathlon
Samantha Murray,Great Britain,22,174.0,59.0,F,9/25/1989,Preston (GBR),0,0,0,0,Modern Pentathlon,Women's Modern Pentathlon
Ainhoa Murua,Spain,34,160.0,46.0,F,7/18/1978,Zarautz (ESP),0,0,0,0,Triathlon,Women's Triathlon
Magomed Musaev,Kyrgyzstan,23,180.0,96.0,M,3/11/1989,MAHACHKALA (RUS),0,0,0,0,Wrestling,Men's 96kg Freestyle
Nicola Muscat,Malta,18,173.0,60.0,F,6/25/1994,ZEBBUG (MLT),0,0,0,0,Swimming,Women's 50m Freestyle
Dmitriy Muserskiy,Russian Federation,23,218.0,115.0,M,10/29/1988,MAKEEVKA (),0,0,0,0,Volleyball,Men's Volleyball
Ilgar Mushkiyev,Azerbaijan,21,166.0,60.0,M,10/5/1990,GANJA (AZE),0,0,0,0,Judo,Men's -60kg
Jaromir Musil,Czech Republic,24,182.0,81.0,M,5/28/1988,Praha (CZE),0,0,0,0,Judo,Men's -81kg
Iaroslav Musinschi,Republic of Moldova,35,182.0,72.0,M,8/8/1976,OCNITA (MDA),0,0,0,0,Athletics,Men's Marathon
Faustine Mussa,United Republic of Tanzania,31,175.0,60.0,M,4/2/1981,TABORA (TAN),0,0,0,0,Athletics,Men's Marathon
Raul Must,Estonia,24,175.0,70.0,M,11/9/1987,Tallinn,0,0,0,0,Badminton,Men's Singles
Fatehah Mustapa,Malaysia,23,163.0,50.0,F,3/12/1989,TERENGGANU (MAS),0,0,0,0,Cycling - Track,Women's Keirin
Abel Kiprop Mutai,Kenya,23,187.0,73.0,M,10/2/1988,Nandi (KEN),0,0,0,0,Athletics,Men's 3000m Steeplechase
Emmanuel Kipchirchir Mutai,Kenya,27,162.0,52.0,M,10/12/1984,Uasin Gishu (KEN),0,0,0,0,Athletics,Men's Marathon
Julius Mutekanga,Uganda,24,176.0,76.0,M,12/1/1987,BULERA (UGA),0,0,0,0,Athletics,Men's 800m
Agnes Mutina,Hungary,24,170.0,63.0,F,4/19/1988,Miskolc (HUN),0,0,0,0,Swimming,"Women's 200m Freestyle, Women's 4x100m Freestyle Relay, Women's 4x200m Freestyle Relay"
Florencia Mutio,Argentina,27,171.0,68.0,F,11/20/1984,PARANA,0,0,0,0,Hockey,Women's Hockey
Semiha Mutlu,Turkey,25,168.0,55.0,F,3/15/1987,Sivas (TUR),0,0,0,0,Athletics,Women's 20km Race Walk
Mark Kiprotich Muttai,Kenya,34,172.0,58.0,M,3/23/1978,Nandi (KEN),0,0,0,0,Athletics,Men's 4 x 400m Relay
Lina Muze,Latvia,19,182.0,75.0,F,12/4/1992,Smiltene (LAT),0,0,0,0,Athletics,Women's Javelin Throw
Jean Pierre Mvuyekure,Rwanda,28,158.0,54.0,M,7/28/1984,KAGEYO,0,0,0,0,Athletics,Men's Marathon
Boniface Ontuga Mweresa,Kenya,18,170.0,70.0,M,11/13/1993,NYAMIRA (KEN),0,0,0,0,Athletics,Men's 4 x 400m Relay
Carl Myerscough,Great Britain,32,208.0,160.0,M,10/21/1979,BLACKPOOL (GBR),0,0,0,0,Athletics,"Men's Shot Put, Men's Discus Throw"
Povilas Mykolaitis,Lithuania,29,187.0,81.0,M,2/23/1983,Marijampolé (LTU),0,0,0,0,Athletics,Men's Long Jump
Emmanouil Mylonakis,Greece,27,185.0,75.0,M,4/9/1985,CHANIA (GRE),0,0,0,0,Water Polo,Men's Water Polo
Nay Myo Aung,Myanmar,26,178.0,71.0,M,7/19/1986,YANGON,0,0,0,0,Archery,Men's Individual
Rasmus Myrgren,Sweden,33,175.0,75.0,M,11/25/1978,LINDOME (SWE),0,0,0,0,Sailing,Men's Laser
Maik Eckhardt,Germany,42,186.0,90.0,M,6/4/1970,BERLEBURG (GER),0,0,0,0,Shooting,"Men's 50m Rifle Prone, Men's 50m Rifle 3 Positions"
Maiko Kano,Japan,24,185.0,72.0,F,7/15/1988,MITAKA (JPN),0,0,0,0,Volleyball,Women's Volleyball
Maksim Dyldin,Russian Federation,25,178.0,68.0,M,5/19/1987,Perm (RUS),0,0,0,0,Athletics,"Men's 400m, Men's 4 x 400m Relay"
Maksym Oberemko,Ukraine,34,185.0,68.0,M,1/25/1978,MYKOLAIV (UKR),0,0,0,0,Sailing,Men's RS-X
Malin Baryard-Johnsson,Sweden,37,172.0,52.0,F,4/10/1975,S:T LAURENT (SWE),0,0,0,0,Equestrian,"Individual Jumping, Team Jumping, TORNESCH"
Mamadou Kasse Hanne,Senegal,25,172.0,70.0,M,10/10/1986,PIKINE (SEN),0,0,0,0,Athletics,Men's 400m Hurdles
Manuel Fumic,Germany,30,175.0,69.0,M,3/30/1982,KIRCHHEIM/TECK (GER),0,0,0,0,Cycling - Mountain Bike,Men's Cross-country
Manuel Huerta,United States of America,28,168.0,56.0,M,3/22/1984,HABANA (CUB),0,0,0,0,Triathlon,Men's Triathlon
Marcin Grzybowski,Poland,33,177.0,74.0,M,1/10/1979,CZECHOWICE,0,0,0,0,Canoe Sprint,Men's Canoe Double (C2) 1000m
Marcin Pochwala,Poland,28,182.0,79.0,M,2/14/1984,Nowy Sacz (POL),0,0,0,0,Canoe Slalom,Men's Canoe Double (C2)
Marco Aurelio Fontana,Italy,27,172.0,68.0,M,12/12/1984,GIUSSANO (ITA),0,0,0,0,Cycling - Mountain Bike,Men's Cross-country
Maria Czakova,Slovakia,23,166.0,60.0,F,10/2/1988,Nitra (SVK),0,0,0,0,Athletics,Women's 20km Race Walk
Maria Czesnik,Poland,35,167.0,54.0,F,8/3/1977,Warszawa (POL),0,0,0,0,Triathlon,Women's Triathlon
Maria Grozdeva,Bulgaria,40,166.0,58.0,F,6/23/1972,Sofia (BUL),0,0,0,0,Shooting,"Women's 10m Air Pistol, Women's 25m Pistol"
Marie Delattre-Demory,France,31,172.0,61.0,F,3/4/1981,ARRAS (FRA),0,0,0,0,Canoe Sprint,Women's Kayak Four (K4) 500m
Marie Gayot,France,23,171.0,57.0,F,2/18/1989,Reims (FRA),0,0,0,0,Athletics,Women's 4 x 400m Relay
